exp_id,NUM_THREADS,build_time_s,avg_degree,max_depth,allknn_recall,allknn_qps,itest_recall,itest_qps,otest_recall,otest_qps,wall_time_s
1,0,30.44,47.9,2.0,0.9774,22307.0,0.9423,21882.0,0.906,21243.0,37.69
2,1,115.62,47.9,2.0,0.9774,2492.0,0.9423,2470.0,0.906,2376.0,147.91
